english_name,ID,sire,dame,date,race_number,track,distance,cl,rank,trainer,weight,jockey,dr,gr,win_time,last_qtr,section_time,ln_running,w_m,horse_wt,rt,odds_on,odds_last
NITRO EXPRESS,T353, Nadeem, Princess Laya,2016-12-07,248,HV tf g/f B,1650,3,WD,D. Ferraris,123,G. Lerena,5,TT   ,1:40.8,23.4, ,8-9-10-4,1.75,1159.0,70.0,12.0,
NUCLEAR POWER,A244, Equiano, Miss Rimex,2018-05-02,620,ST aw g -,1200,3,WD,D. Hall,124,J. Moreira,9,H-,1:08:19,23.33, ,9-10-10-8,6.25,1079.0,71.0,16.0,
OPEN HOUSE,A197, Vocalised, Christinas Letter,2017-10-29,146,HV tf g/f A,1200,4,WD,D. Hall,130,K. C. Leung,7, ,1:10:78,23.21, ,11-12-11,8.75,1073.0,59.0,30.0,
OTOUTO,V074, Haradasun, Libor Lady,2016-07-10,780,ST tf g/f B+2,1600,3,WD,D. Hall,112,K. C. Ng,10,H1/TT,1:33.5,23.2, ,13-13-12-13,8.5,1012.0,64.0,77.0,
PERFECT TO PLAY,B095, Born To Sea, Centreofattention,2019-01-30,378,HV tf g A,1650,4,WD,W. Y. So,124,N. Callan,3,E/TT,1:41:81,24.01, ,4-4-3-8,5.5,1002.0,51.0,17.0,
PINGWU SPARK,A262, Mastercraftsman, Sharp Point,2018-12-09,240,ST tf g A,1200,G1,WD,T. P. Yung,126,J. McDonald,6,B1,1:08:85,22.66, ,2-3-3-6,7.5,1347.0,113.0,70.0,
PRINCIPAL,P108, Falvelon, Lady London,2013-02-17,391,ST tf g A,1400,4,WD,J. Moore,126,W. C. Marwing,12,H/SW1,1:23.3,23.3, ,12-12-10,3.75,1122.0,52.0,8.2,
RAZOR QUEST,S146, Virtual, Takarna,2019-03-06,475,HV tf g A,1800,3,WD,C. W. Chang,115,W. M. Lai,3,TT,1:48:93,24.28, ,5-6-5-11,8.25,1061.0,62.0,29.0,
RIVET,B088, Fastnet Rock, Starship,2018-03-03,472,ST tf g C,1800,2,WD,J. Moore,133,S. Clipperton,10,TT,1:47:09,23.71, ,11-11-12-10-5,3.25,1103.0,96.0,4.9,
ROMAN IMPERO,V371, Holy Roman Emperor, Diksie Dancer,2019-04-17,592,HV tf g B,1650,3,WD,C. H. Yip,117,K. Teetan,12,B,1:39:82,23.33, ,9-9-6,4,1187.0,64.0,13.0,
ROMAN IMPERO,V371, Holy Roman Emperor, Diksie Dancer,2018-05-16,657,HV tf g/f B,1650,3,WD,C. H. Yip,122,D. Whyte,5,B,1:39:99,24.09, ,5-5-5-1,H,1201.0,69.0,12.0,
